Sr.No,Province,Capital,Population,Area (km²),Population Density,Largest Metropolitan Area,Abbr.,ISO,FIPS
66,Suphan Buri,Suphan Buri,"8,45,950","5,358.00",157.9,Suphan Buri,SPB,TH-72,TH51
67,Surat Thani,Surat Thani,"10,00,383","12,891.50",77.6,Surat Thani,SNI,TH-84,TH60
68,Surin,Surin,"13,81,761","8,124.10",170.1,Surin,SRN,TH-32,TH29
69,Tak,Tak,"5,25,684","16,406.60",32,Mae Sot,TAK,TH-63,TH08
70,Trang,Trang,"6,22,659","4,917.50",126.6,Trang,TRG,TH-92,TH65
71,Trat,Trat,"2,20,921","2,819.00",78.4,Trat,TRT,TH-23,TH49
72,Ubon Ratchathani,Ubon Ratchathani,"18,13,088","15,744.80",115.2,Ubon Ratchathani,UBN,TH-34,TH75
73,Udon Thani,Udon Thani,"15,44,786","11,730.30",131.7,Udon Thani,UDN,TH-41,TH76
74,Uthai Thani,Uthai Thani,"3,27,959","6,730.30",48.7,Uthai Thani,UTI,TH-61,TH15
75,Uttaradit,Uttaradit,"4,62,618","7,838.60",59,Uttaradit,UTD,TH-53,TH10
76,Yala,Yala,"4,87,380","4,521.10",107.8,Yala,YLA,TH-95,TH70
77,Yasothon,Yasothon,"5,39,257","4,161.70",129.6,Yasothon,YST,TH-35,TH72
,,,,,,,,,
For more other formats kindly visit www.downloadexcelfiles.com,,,,,,,,,
