Sr.No,District (Amphoe),Province (Changwat).,Region
410,Mueang Ranong,Ranong,South
411,Mueang Ratchaburi,Ratchaburi,West
412,Mueang Rayong,Rayong,East
413,Mueang Roi Et,Roi Et,North-East
414,Mueang Sa Kaeo,Sa Kaeo,East
415,Mueang Sakon Nakhon,Sakon Nakhon,North-East
416,Mueang Samut Prakan,Samut Prakan,Central
417,Mueang Samut Sakhon,Samut Sakhon,Central
418,Mueang Samut Songkhram,Samut Songkhram,Central
419,Mueang Saraburi,Saraburi,Central
420,Mueang Satun (Malay: Mambang),Satun,South
421,Mueang Sing Buri,Sing Buri,Central
422,Mueang Si Sa Ket,Sisaket,North-East
423,Mueang Songkhla (Malay: Singgora),Songkhla,South
424,Mueang Suang,Roi Et,North-East
425,Mueang Sukhothai,Sukhothai,Central
426,Mueang Suphanburi,Suphan Buri,Central
427,Mueang Surat Thani,Surat Thani,South
428,Mueang Surin,Surin,North-East
429,Mueang Tak,Tak,West
430,Mueang Trang,Trang,South
431,Mueang Trat,Trat,East
432,Mueang Ubon Ratchathani,Ubon Ratchathani,North-East
433,Mueang Udon Thani,Udon Thani,North-East
434,Mueang Uthai Thani,Uthai Thani,Central
435,Mueang Uttaradit,Uttaradit,North
436,Mueang Yala,Yala,South
437,Mueang Yang,Nakhon Ratchasima,North-East
438,Na Bon,Nakhon Si Thammarat,South
439,Na Chaluai,Ubon Ratchathani,North-East
440,Na Chueak,Maha Sarakham,North-East
441,Na Di,Prachin Buri,East
442,Na Duang,Loei,North-East
443,Na Dun,Maha Sarakham,North-East
444,Na Haeo,Loei,North-East
445,Na Kae,Nakhon Phanom,North-East
446,Na Khu,Kalasin,North-East
447,Na Klang,Nong Bua Lamphu,North-East
448,Na Mom,Songkhla,South
449,Na Mon,Kalasin,North-East
450,Na Muen,Nan,North
451,Na Noi,Nan,North
452,Na Pho,Buriram,North-East
453,Na Tan,Ubon Ratchathani,North-East
454,Na Thawi (Malay: Nawi),Songkhla,South
455,Na Thom,Nakhon Phanom,North-East
456,Na Wa,Nakhon Phanom,North-East
457,Na Wang,Nong Bua Lamphu,North-East
458,Na Yai Am,Chanthaburi,East
459,Na Yia,Ubon Ratchathani,North-East
460,Na Yong,Trang,South
461,Na Yung,Udon Thani,North-East
462,Nakhon Chai Si,Nakhon Pathom,Central
463,Nakhon Luang,Ayutthaya,Central
464,Nakhon Thai,Phitsanulok,Central
465,Nam Khun,Ubon Ratchathani,North-East
466,Nam Kliang,Sisaket,North-East
467,Nam Nao,Phetchabun,Central
468,Nam Pat,Uttaradit,North
469,Nam Phong,Khon Kaen,North-East
470,Nam Som,Udon Thani,North-East
471,Nam Yuen,Ubon Ratchathani,North-East
472,Nang Rong,Buriram,North-East
473,Ngao,Lampang,North
474,Nikhom Kham Soi,Mukdahan,North-East
475,Nikhom Nam Un,Sakon Nakhon,North-East
476,Nikhom Phatthana,Rayong,East
477,Noen Kham,Chainat,Central
478,Noen Maprang,Phitsanulok,Central
479,Noen Sa-nga,Chaiyaphum,North-East
480,Non Daeng,Nakhon Ratchasima,North-East
481,Non Din Daeng,Buriram,North-East
482,Non Khun,Sisaket,North-East
483,Non Narai,Surin,North-East
484,Non Sa-at,Udon Thani,North-East
485,Non Sang,Nong Bua Lamphu,North-East
486,Non Sila,Khon Kaen,North-East
487,Non Sung,Nakhon Ratchasima,North-East
488,Non Suwan,Buriram,North-East
489,Non Thai,Nakhon Ratchasima,North-East
490,Nong Bua,Nakhon Sawan,Central
491,Nong Bua Daeng,Chaiyaphum,North-East
492,Nong Bua Rawe,Chaiyaphum,North-East
493,Nong Bun Mak,Nakhon Ratchasima,North-East
494,Nong Chang,Uthai Thani,Central
495,Nong Chik,Pattani,South
496,Nong Don,Saraburi,Central
497,Nong Han,Udon Thani,North-East
498,Nong Hi,Roi Et,North-East
499,Nong Hin,Loei,North-East
500,Nong Hong,Buriram,North-East
501,Nong Khae,Saraburi,Central
502,Nong Khayang,Uthai Thani,Central
503,Nong Ki,Buriram,North-East
504,Nong Kung Si,Kalasin,North-East
505,Nong Mamong,Chainat,Central
506,Nong Muang,Lopburi,Central
507,Nong Muang Khai,Phrae,North
508,Nong Na Kham,Khon Kaen,North-East
509,Nong Phai,Phetchabun,Central
510,Nong Phok,Roi Et,North-East
511,Nong Prue,Kanchanaburi,West
512,Nong Ruea,Khon Kaen,North-East
513,Nong Saeng,Udon Thani,North-East
514,Nong Saeng,Saraburi,Central
515,Nong Song Hong,Khon Kaen,North-East
516,Nong Suea,Pathum Thani,Central
517,Nong Sung,Mukdahan,North-East
518,Nong Wua So,Udon Thani,North-East
519,Nong Ya Plong,Phetchaburi,West
520,Nong Ya Sai,Suphan Buri,Central
521,Nong Yai,Chonburi,East
522,Nopphitam,Nakhon Si Thammarat,South
523,Nuea Khlong,Krabi,South
524,Omkoi,Chiang Mai,North
525,Ongkharak,Nakhon Nayok,Central
526,Pa Bon,Phatthalung,South
527,Pa Daet,Chiang Rai,North
528,Pa Mok,Ang Thong,Central
529,Pa Phayom,Phatthalung,South
530,Pa Sang,Lamphun,North
531,Pai,Mae Hong Son,North
532,Pak Chom,Loei,North-East
533,Pak Chong,Nakhon Ratchasima,North-East
534,Pak Khat,Bueng Kan,North-East
535,Pak Kret,Nonthaburi,Central
536,Pak Phanang,Nakhon Si Thammarat,South
537,Pak Phayun,Phatthalung,South
538,Pak Phli,Nakhon Nayok,Central
539,Pak Tho,Ratchaburi,West
540,Pak Thong Chai,Nakhon Ratchasima,North-East
541,Pakham,Buriram,North-East
542,Palian,Trang,South
543,Panare (Malay: Penarik),Pattani,South
544,Pang Mapha,Mae Hong Son,North
545,Pang Sila Thong,Kamphaeng Phet,Central
546,Pathio,Chumphon,South
547,Pathum Rat,Roi Et,North-East
548,Pathum Ratchawongsa,Amnat Charoen,North-East
549,Pha Khao,Loei,North-East
550,Phachi,Ayutthaya,Central
551,Phaisali,Nakhon Sawan,Central
552,Phak Hai,Ayutthaya,Central
553,Phakdi Chumphon,Chaiyaphum,North-East
554,Phan,Chiang Rai,North
555,Phan Thong,Chonburi,East
556,Phana,Amnat Charoen,North-East
557,Phanat Nikhom,Chonburi,East
558,Phang Khon,Sakon Nakhon,North-East
559,Phanna Nikhom,Sakon Nakhon,North-East
560,Phanom,Surat Thani,South
561,Phanom Dong Rak,Surin,North-East
562,Phanom Phrai,Roi Et,North-East
563,Phanom Sarakham,Chachoengsao,East
564,Phanom Thuan,Kanchanaburi,West
565,Phato,Chumphon,South
566,Phatthana Nikhom,Lopburi,Central
567,Phaya Mengrai,Chiang Rai,North
568,Phayakkhaphum Phisai,Maha Sarakham,North-East
569,Phayu,Sisaket,North-East
570,Phayuha Khiri,Nakhon Sawan,Central
571,Phen,Udon Thani,North-East
572,Phibun Mangsahan,Ubon Ratchathani,North-East
573,Phibun Rak,Udon Thani,North-East
574,Phichai,Uttaradit,North
575,Phimai,Nakhon Ratchasima,North-East
576,Phipun,Nakhon Si Thammarat,South
577,Phlapphla Chai,Buriram,North-East
578,Pho Chai,Roi Et,North-East
579,Pho Prathap Chang,Phichit,Central
580,Pho Sai,Ubon Ratchathani,North-East
581,Pho Si Suwan,Sisaket,North-East
582,Pho Tak,Nong Khai,North-East
583,Pho Thale,Phichit,Central
584,Pho Thong,Ang Thong,Central
585,Phon,Khon Kaen,North-East
586,Phon Charoen,Bueng Kan,North-East
587,Phon Na Kaeo,Sakon Nakhon,North-East
589,Phon Phisai,Nong Khai,North-East
590,Phon Sai,Roi Et,North-East
591,Phon Sawan,Nakhon Phanom,North-East
592,Phon Thong,Roi Et,North-East
593,Phop Phra,Tak,West
594,Photharam,Ratchaburi,West
595,Phra Nakhon Si Ayutthaya,Ayutthaya,Central
596,Phra Phrom,Nakhon Si Thammarat,South
597,Phra Phutthabat,Saraburi,Central
598,Phra Pradaeng,Samut Prakan,Central
599,Phra Samut Chedi,Samut Prakan,Central
600,Phra Thong Kham,Nakhon Ratchasima,North-East
601,Phra Yuen,Khon Kaen,North-East
602,Phrai Bueng,Sisaket,North-East
603,Phran Kratai,Kamphaeng Phet,Central
604,Phrao,Chiang Mai,North
605,Phrasaeng,Surat Thani,South
606,Phrom Buri,Sing Buri,Central
607,Phrom Khiri,Nakhon Si Thammarat,South
608,Phrom Phiram,Phitsanulok,Central
609,Phu Kamyao,Phayao,North
610,Phu Khiao,Chaiyaphum,North-East
611,Phu Kradueng,Loei,North-East
612,Phu Luang,Loei,North-East
613,Phu Pha Man,Khon Kaen,North-East
614,Phu Phan,Sakon Nakhon,North-East
615,Phu Phiang,Nan,North
616,Phu Ruea,Loei,North-East
617,Phu Sang,Phayao,North
618,Phu Sing,Sisaket,North-East
619,Phu Wiang,Khon Kaen,North-East
620,Phunphin,Surat Thani,South
621,Phutthaisong,Buriram,North-East
622,Phutthamonthon,Nakhon Pathom,Central
623,Pla Pak,Nakhon Phanom,North-East
624,Plaeng Yao,Chachoengsao,East
625,Plai Phraya,Krabi,South
