Sr.No,District (Amphoe),Province (Changwat).,Region
784,Tha Wang Pha,Nan,North
785,Tha Wung,Lopburi,Central
786,Tha Yang,Phetchaburi,West
787,Thai Mueang,Phang Nga,South
788,Thalang,Phuket,South
789,Tham Phannara,Nakhon Si Thammarat,South
790,Than To,Yala,South
791,Thanyaburi,Pathum Thani,Central
792,Thap Put,Phang Nga,South
793,Thap Sakae,Prachuap Khiri Khan,West
794,Thap Than,Uthai Thani,Central
795,That Phanom,Nakhon Phanom,North-East
796,Thawat Buri,Roi Et,North-East
797,Thep Sathit,Chaiyaphum,North-East
798,Thepha (Malay: Tiba),Songkhla,South
799,Thepharak,Nakhon Ratchasima,North-East
800,Thoen,Lampang,North
801,Thoeng,Chiang Rai,North
802,Thong Pha Phum,Kanchanaburi,West
803,Thong Saen Khan,Uttaradit,North
804,Thung Chang,Nan,North
805,Thung Fon,Udon Thani,North-East
806,Thung Hua Chang,Lamphun,North
807,Thung Khao Luang,Roi Et,North-East
808,Thung Saliam,Sukhothai,Central
809,Thung Si Udom,Ubon Ratchathani,North-East
810,Thung Song,Nakhon Si Thammarat,South
811,Thung Tako,Chumphon,South
812,Thung Wa,Satun,South
813,Thung Yai,Nakhon Si Thammarat,South
814,Thung Yang Daeng,Pattani,South
815,Trakan Phuet Phon,Ubon Ratchathani,North-East
816,Tron,Uttaradit,North
817,U Thong,Suphan Buri,Central
818,Ubolratana,Khon Kaen,North-East
819,Umphang,Tak,West
820,Uthai,Ayutthaya,Central
821,Uthumphon Phisai,Sisaket,North-East
822,Vibhavadi,Surat Thani,South
823,Wachirabarami,Phichit,Central
824,Waeng,Narathiwat,South
825,Waeng Noi,Khon Kaen,North-East
826,Waeng Yai,Khon Kaen,North-East
827,Wan Yai,Mukdahan,North-East
828,Wang Chan,Rayong,East
829,Wang Chao,Tak,West
830,Wang Chin,Phrae,North
831,Wang Hin,Sisaket,North-East
832,Wang Muang,Saraburi,Central
833,Wang Nam Khiao,Nakhon Ratchasima,North-East
834,Wang Nam Yen,Sa Kaeo,East
835,Wang Noi,Ayutthaya,Central
836,Wang Nuea,Lampang,North
837,Wang Pong,Phetchabun,Central
838,Wang Sai Phun,Phichit,Central
839,Wang Sam Mo,Udon Thani,North-East
840,Wang Saphung,Loei,North-East
841,Wang Sombun,Sa Kaeo,East
842,Wang Thong,Phitsanulok,Central
843,Wang Wiset,Trang,South
844,Wang Yang,Nakhon Phanom,North-East
845,Wanon Niwat,Sakon Nakhon,North-East
846,Wapi Pathum,Maha Sarakham,North-East
847,Warin Chamrap,Ubon Ratchathani,North-East
848,Waritchaphum,Sakon Nakhon,North-East
849,Wat Bot,Phitsanulok,Central
850,Wat Phleng,Ratchaburi,West
851,Wat Sing,Chainat,Central
852,Watthana Nakhon,Sa Kaeo,East
853,Wiang Chai,Chiang Rai,North
854,Wiang Chiang Rung,Chiang Rai,North
